date,duration_min,session
2017-06-03,0.333,1
2017-06-04,2.8679999999999994,5
2017-06-05,1.334,4
2017-06-06,0.334,2
2017-06-07,11.25,3
2017-06-08,1.334,2
2017-06-29,2.167,2
2017-06-30,0.583,1
2017-07-01,12.934,6
2017-07-02,3.817,9
2017-07-03,1.283,4
2017-07-04,3.901,6
2017-07-05,3.501,3
2017-07-06,7.683999999999999,5
2017-07-07,0.9510000000000001,5
2017-07-08,2.1679999999999997,4
2017-07-09,3.317,1
2017-07-10,0.5670000000000001,3
2017-07-11,9.35,3
2017-07-12,0.6170000000000001,4
2017-07-13,5.917,5
2017-07-14,9.284,3
2017-07-15,0.167,1
2017-07-16,6.035,8
2017-07-17,8.75,4
2017-07-18,0.933,1
2017-07-19,6.165,6
2017-07-20,2.3840000000000003,4
2017-07-21,4.984,4
2017-07-22,0.8999999999999999,4
2017-07-23,0.717,1
2017-07-24,5.634,3
2017-07-25,2.6660000000000004,4
2017-07-26,0.5,2
2017-07-27,4.333,3
2017-07-28,1.901,4
2017-07-29,2.0,2
2017-07-30,12.850999999999999,3
2017-07-31,0.5,2
2017-08-01,1.3840000000000001,4
2017-08-02,8.7,5
2017-08-03,0.667,1
2017-08-04,0.1,1
2017-08-05,9.899000000000001,5
2017-08-06,6.2330000000000005,7
2017-08-07,15.318,4
2017-08-08,1.433,3
2017-08-09,13.735,7
2017-08-10,10.484,6
2017-08-11,7.466000000000001,5
2017-08-12,14.868,10
2017-08-13,4.317,3
2017-08-14,1.984,3
2017-08-15,2.6340000000000003,5
2017-08-16,0.333,1
2017-08-17,1.0,1
2017-08-18,0.401,3
2017-08-19,5.599,3
2017-08-20,3.117,3
2017-08-21,0.5,1
2017-08-22,25.783,3
2017-08-23,2.567,2
2017-08-24,6.317,4
2017-08-25,0.4,2
2017-08-26,12.684,2
2017-08-27,0.833,1
2017-08-28,0.9670000000000001,3
2017-08-29,3.0,5
2017-08-30,0.7010000000000001,3
2017-08-31,1.667,3
2017-09-01,13.334,6
2017-09-02,4.117,3
2017-09-03,3.8329999999999997,6
2017-09-04,2.583,3
2017-09-05,1.867,4
2017-09-06,2.667,3
2017-09-07,1.667,2
2017-09-08,5.1,5
2017-09-09,3.5,4
2017-09-10,6.083,3
2017-09-11,7.634,6
2017-09-12,17.484,4
2017-09-14,3.984,4
2017-09-15,1.067,3
2017-09-16,1.234,3
2017-09-18,6.184,4
2017-09-19,1.45,2
2017-09-20,6.334,4
2017-09-21,3.6340000000000003,5
2017-09-22,2.8509999999999995,4
2017-09-23,2.967,2
2017-09-25,1.766,2
2017-09-27,7.166,10
2017-09-28,0.35000000000000003,2
2017-09-29,4.517999999999999,5
2017-09-30,6.566,2
2017-10-01,4.5,3
2017-10-02,1.0010000000000001,3
2017-10-03,2.583,1
2017-10-04,1.0,1
2017-10-05,2.334,3
2017-10-06,4.534,4
2017-10-07,3.834,3
2017-10-08,6.1499999999999995,3
2017-10-09,0.167,1
2017-10-10,6.700000000000001,5
2017-10-11,2.067,3
2017-10-12,2.001,3
2017-10-13,0.9159999999999999,3
2017-10-14,16.15,4
2017-10-15,1.0,4
2017-10-16,1.2670000000000001,3
2017-10-17,0.167,1
