,index,duration_min,session,day,Dialy_Average,percentage
0,2017-06-03,0.333,1,Saturday,1.6,-0.791875
1,2017-06-04,2.8679999999999994,5,Sunday,1.5,0.9119999999999996
2,2017-06-05,1.334,4,Monday,1.4,-0.04714285714285703
3,2017-06-06,0.334,2,Tuesday,1.4,-0.7614285714285713
4,2017-06-07,11.25,3,Wednesday,1.4,7.035714285714286
5,2017-06-08,1.334,2,Thursday,1.3,0.026153846153846177
6,2017-06-09,0.0,0,Friday,1.3,-1.0
7,2017-06-10,0.0,0,Saturday,1.6,-1.0
8,2017-06-11,0.0,0,Sunday,1.5,-1.0
9,2017-06-12,0.0,0,Monday,1.4,-1.0
10,2017-06-13,0.0,0,Tuesday,1.4,-1.0
11,2017-06-14,0.0,0,Wednesday,1.4,-1.0
12,2017-06-15,0.0,0,Thursday,1.3,-1.0
13,2017-06-16,0.0,0,Friday,1.3,-1.0
14,2017-06-17,0.0,0,Saturday,1.6,-1.0
15,2017-06-18,0.0,0,Sunday,1.5,-1.0
16,2017-06-19,0.0,0,Monday,1.4,-1.0
17,2017-06-20,0.0,0,Tuesday,1.4,-1.0
18,2017-06-21,0.0,0,Wednesday,1.4,-1.0
19,2017-06-22,0.0,0,Thursday,1.3,-1.0
20,2017-06-23,0.0,0,Friday,1.3,-1.0
21,2017-06-24,0.0,0,Saturday,1.6,-1.0
22,2017-06-25,0.0,0,Sunday,1.5,-1.0
23,2017-06-26,0.0,0,Monday,1.4,-1.0
24,2017-06-27,0.0,0,Tuesday,1.4,-1.0
25,2017-06-28,0.0,0,Wednesday,1.4,-1.0
26,2017-06-29,2.167,2,Thursday,1.3,0.6669230769230767
27,2017-06-30,0.583,1,Friday,1.3,-0.5515384615384615
28,2017-07-01,12.934,6,Saturday,1.6,7.083749999999999
29,2017-07-02,3.817,9,Sunday,1.5,1.5446666666666669
30,2017-07-03,1.283,4,Monday,1.4,-0.08357142857142857
31,2017-07-04,3.901,6,Tuesday,1.4,1.7864285714285715
32,2017-07-05,3.501,3,Wednesday,1.4,1.500714285714286
33,2017-07-06,7.683999999999999,5,Thursday,1.3,4.9107692307692306
34,2017-07-07,0.9510000000000001,5,Friday,1.3,-0.2684615384615384
35,2017-07-08,2.1679999999999997,4,Saturday,1.6,0.35499999999999976
36,2017-07-09,3.317,1,Sunday,1.5,1.2113333333333334
37,2017-07-10,0.5670000000000001,3,Monday,1.4,-0.595
38,2017-07-11,9.35,3,Tuesday,1.4,5.678571428571429
39,2017-07-12,0.6170000000000001,4,Wednesday,1.4,-0.5592857142857142
40,2017-07-13,5.917,5,Thursday,1.3,3.5515384615384615
41,2017-07-14,9.284,3,Friday,1.3,6.141538461538462
42,2017-07-15,0.167,1,Saturday,1.6,-0.895625
43,2017-07-16,6.035,8,Sunday,1.5,3.0233333333333334
44,2017-07-17,8.75,4,Monday,1.4,5.25
45,2017-07-18,0.933,1,Tuesday,1.4,-0.3335714285714285
46,2017-07-19,6.165,6,Wednesday,1.4,3.4035714285714294
47,2017-07-20,2.3840000000000003,4,Thursday,1.3,0.833846153846154
48,2017-07-21,4.984,4,Friday,1.3,2.833846153846154
49,2017-07-22,0.8999999999999999,4,Saturday,1.6,-0.4375000000000001
50,2017-07-23,0.717,1,Sunday,1.5,-0.522
51,2017-07-24,5.634,3,Monday,1.4,3.0242857142857145
52,2017-07-25,2.6660000000000004,4,Tuesday,1.4,0.9042857142857147
53,2017-07-26,0.5,2,Wednesday,1.4,-0.6428571428571428
54,2017-07-27,4.333,3,Thursday,1.3,2.3330769230769235
55,2017-07-28,1.901,4,Friday,1.3,0.46230769230769225
56,2017-07-29,2.0,2,Saturday,1.6,0.24999999999999994
57,2017-07-30,12.850999999999999,3,Sunday,1.5,7.567333333333333
58,2017-07-31,0.5,2,Monday,1.4,-0.6428571428571428
59,2017-08-01,1.3840000000000001,4,Tuesday,1.4,-0.011428571428571281
60,2017-08-02,8.7,5,Wednesday,1.4,5.2142857142857135
61,2017-08-03,0.667,1,Thursday,1.3,-0.4869230769230769
62,2017-08-04,0.1,1,Friday,1.3,-0.923076923076923
63,2017-08-05,9.899000000000001,5,Saturday,1.6,5.186875000000001
64,2017-08-06,6.2330000000000005,7,Sunday,1.5,3.1553333333333335
65,2017-08-07,15.318,4,Monday,1.4,9.941428571428572
66,2017-08-08,1.433,3,Tuesday,1.4,0.023571428571428674
67,2017-08-09,13.735,7,Wednesday,1.4,8.810714285714285
68,2017-08-10,10.484,6,Thursday,1.3,7.064615384615384
