,start_time,end_time,hour_period,duration_min,session
727,2017-12-14 13:17:19,2017-12-14 13:17:55,13:00-13:30,0.6,1
728,2018-03-19 17:10:31,2018-03-19 17:10:41,17:00-17:30,0.167,1
730,2017-12-18 16:59:48,2017-12-18 17:02:29,16:30-17:00,2.683,1
732,2018-07-12 11:09:22,2018-07-12 11:11:22,11:00-11:30,2.0,1
733,2018-01-19 16:58:26,2018-01-19 16:58:56,16:30-17:00,0.5,1
736,2017-07-26 13:48:35,2017-07-26 13:48:45,13:30-14:00,0.167,1
738,2017-12-09 14:35:45,2017-12-09 14:36:09,14:30-15:00,0.4,1
739,2018-11-28 19:03:22,2018-11-28 19:03:32,19:00-19:30,0.167,1
740,2018-03-26 16:39:44,2018-03-26 16:41:19,16:30-17:00,1.583,1
742,2018-02-28 11:01:58,2018-02-28 11:03:48,11:00-11:30,1.833,1
743,2018-10-18 05:47:13,2018-10-18 05:48:43,05:30-06:00,1.5,1
744,2018-10-08 11:39:59,2018-10-08 11:43:00,11:30-12:00,3.017,1
746,2017-07-19 21:28:31,2017-07-19 21:28:40,21:00-21:30,0.15,1
747,2018-10-19 15:31:13,2018-10-19 15:31:19,15:30-16:00,0.1,1
748,2018-02-03 21:18:26,2018-02-03 21:18:36,21:00-21:30,0.167,1
749,2017-09-06 07:05:56,2017-09-06 07:06:01,07:00-07:30,0.083,1
752,2018-12-18 17:54:22,2018-12-18 17:54:32,17:30-18:00,0.167,1
753,2017-08-18 18:20:28,2017-08-18 18:20:38,18:00-18:30,0.167,1
754,2018-10-29 09:32:19,2018-10-29 09:36:19,09:30-10:00,4.0,1
756,2018-09-06 07:52:48,2018-09-06 07:52:58,07:30-08:00,0.167,1
757,2017-12-11 13:48:23,2017-12-11 13:48:34,13:30-14:00,0.183,1
758,2018-07-19 16:31:42,2018-07-19 16:32:59,16:30-17:00,1.283,1
759,2018-08-21 05:24:54,2018-08-21 05:25:34,05:00-05:30,0.667,1
763,2017-09-25 17:17:13,2017-09-25 17:18:30,17:00-17:30,1.283,1
765,2018-06-09 03:50:31,2018-06-09 03:51:30,03:30-04:00,0.983,1
768,2018-07-15 20:24:52,2018-07-15 20:25:02,20:00-20:30,0.167,1
770,2018-09-07 14:23:28,2018-09-07 14:24:03,14:00-14:30,0.583,1
771,2018-09-22 19:16:03,2018-09-22 19:16:46,19:00-19:30,0.717,1
772,2018-04-29 14:34:13,2018-04-29 14:34:32,14:30-15:00,0.317,1
773,2017-10-25 22:29:06,2017-10-25 22:29:36,22:00-22:30,0.5,1
778,2018-09-06 07:56:08,2018-09-06 07:56:38,07:30-08:00,0.5,1
781,2018-02-13 20:03:04,2018-02-13 20:06:04,20:00-20:30,3.0,1
782,2018-07-15 11:43:36,2018-07-15 11:43:46,11:30-12:00,0.167,1
784,2017-08-10 16:12:34,2017-08-10 16:12:44,16:00-16:30,0.167,1
785,2017-12-27 22:54:05,2017-12-27 22:55:25,22:30-23:00,1.333,1
787,2018-11-28 14:59:19,2018-11-28 14:59:22,14:30-15:00,0.05,1
789,2017-07-11 16:55:11,2017-07-11 17:01:11,16:30-17:00,6.0,1
790,2017-07-31 16:57:50,2017-07-31 16:58:00,16:30-17:00,0.167,1
791,2018-07-07 19:01:32,2018-07-07 19:01:58,19:00-19:30,0.433,1
792,2018-04-05 07:16:42,2018-04-05 07:16:53,07:00-07:30,0.183,1
796,2017-07-14 14:49:49,2017-07-14 14:51:29,14:30-15:00,1.667,1
799,2017-06-29 21:02:27,2017-06-29 21:02:37,21:00-21:30,0.167,1
801,2018-09-03 19:13:03,2018-09-03 19:13:13,19:00-19:30,0.167,1
803,2018-02-05 15:05:07,2018-02-05 15:07:57,15:00-15:30,2.833,1
804,2017-07-04 18:38:45,2017-07-04 18:40:42,18:30-19:00,1.95,1
